O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
31-9091.00	1.C.5.b	Attention to Detail	IM	4.54	22	0.1708	4.1842	4.8946	N	08/2021	Incumbent
31-9091.00	1.C.5.c	Integrity	IM	4.41	23	0.1510	4.0935	4.7197	N	08/2021	Incumbent
31-9091.00	1.C.6	Independence	IM	3.84	23	0.1484	3.5332	4.1488	N	08/2021	Incumbent
31-9091.00	1.C.7.a	Innovation	IM	3.50	22	0.1871	3.1080	3.8861	N	08/2021	Incumbent
31-9091.00	1.C.7.b	Analytical Thinking	IM	3.68	22	0.2061	3.2542	4.1114	N	08/2021	Incumbent
31-9092.00	1.C.1.a	Achievement/Effort	IM	3.84	20	0.3003	3.2154	4.4724	N	08/2021	Incumbent
31-9092.00	1.C.1.b	Persistence	IM	4.07	20	0.3144	3.4128	4.7291	N	08/2021	Incumbent
31-9092.00	1.C.1.c	Initiative	IM	4.18	20	0.2571	3.6423	4.7185	N	08/2021	Incumbent
31-9092.00	1.C.2.b	Leadership	IM	3.65	20	0.3687	2.8821	4.4254	N	08/2021	Incumbent
31-9092.00	1.C.3.a	Cooperation	IM	4.50	20	0.1397	4.2108	4.7955	N	08/2021	Incumbent
31-9092.00	1.C.3.b	Concern for Others	IM	4.63	20	0.2030	4.2053	5.0000	N	08/2021	Incumbent
31-9092.00	1.C.3.c	Social Orientation	IM	3.99	20	0.3407	3.2788	4.7047	N	08/2021	Incumbent
31-9092.00	1.C.4.a	Self-Control	IM	4.19	20	0.1297	3.9226	4.4654	N	08/2021	Incumbent
31-9092.00	1.C.4.b	Stress Tolerance	IM	4.53	20	0.2035	4.1038	4.9555	N	08/2021	Incumbent
31-9092.00	1.C.4.c	Adaptability/Flexibility	IM	4.53	20	0.2010	4.1052	4.9467	N	08/2021	Incumbent
31-9092.00	1.C.5.a	Dependability	IM	4.70	20	0.1763	4.3332	5.0000	N	08/2021	Incumbent
31-9092.00	1.C.5.b	Attention to Detail	IM	4.77	20	0.1241	4.5072	5.0000	N	08/2021	Incumbent
31-9092.00	1.C.5.c	Integrity	IM	4.78	20	0.1192	4.5350	5.0000	N	08/2021	Incumbent
31-9092.00	1.C.6	Independence	IM	4.43	20	0.1806	4.0475	4.8035	N	08/2021	Incumbent
31-9092.00	1.C.7.a	Innovation	IM	3.61	20	0.1896	3.2137	4.0075	N	08/2021	Incumbent
31-9092.00	1.C.7.b	Analytical Thinking	IM	3.55	20	0.2257	3.0782	4.0231	N	08/2021	Incumbent
31-9093.00	1.C.1.a	Achievement/Effort	IM	4.19	28	0.2602	3.6602	4.7280	N	07/2014	Incumbent
31-9093.00	1.C.1.b	Persistence	IM	4.03	28	0.2410	3.5306	4.5197	N	07/2014	Incumbent
31-9093.00	1.C.1.c	Initiative	IM	4.21	28	0.2613	3.6775	4.7497	N	07/2014	Incumbent
31-9093.00	1.C.2.b	Leadership	IM	3.68	28	0.3916	2.8783	4.4852	N	07/2014	Incumbent
31-9093.00	1.C.3.a	Cooperation	IM	4.46	28	0.1551	4.1395	4.7759	N	07/2014	Incumbent
31-9093.00	1.C.3.b	Concern for Others	IM	4.27	28	0.1421	3.9757	4.5587	N	07/2014	Incumbent
31-9093.00	1.C.3.c	Social Orientation	IM	4.26	28	0.1892	3.8674	4.6440	N	07/2014	Incumbent
31-9093.00	1.C.4.a	Self-Control	IM	4.23	28	0.2564	3.7012	4.7534	N	07/2014	Incumbent
31-9093.00	1.C.4.b	Stress Tolerance	IM	4.37	28	0.1649	4.0297	4.7065	N	07/2014	Incumbent
31-9093.00	1.C.4.c	Adaptability/Flexibility	IM	4.24	28	0.1452	3.9396	4.5356	N	07/2014	Incumbent
31-9093.00	1.C.5.a	Dependability	IM	4.59	28	0.1578	4.2651	4.9127	N	07/2014	Incumbent
31-9093.00	1.C.5.b	Attention to Detail	IM	4.71	27	0.1400	4.4236	4.9990	N	07/2014	Incumbent
31-9093.00	1.C.5.c	Integrity	IM	4.33	27	0.2572	3.7965	4.8540	N	07/2014	Incumbent
31-9093.00	1.C.6	Independence	IM	4.43	28	0.1551	4.1162	4.7528	N	07/2014	Incumbent
31-9093.00	1.C.7.a	Innovation	IM	3.63	28	0.2676	3.0782	4.1763	N	07/2014	Incumbent
31-9093.00	1.C.7.b	Analytical Thinking	IM	3.93	28	0.2208	3.4752	4.3813	N	07/2014	Incumbent
31-9094.00	1.C.1.a	Achievement/Effort	IM	3.75	16	0.1808	3.3653	4.1359	N	08/2021	Incumbent
31-9094.00	1.C.1.b	Persistence	IM	3.89	16	0.0675	3.7428	4.0305	N	08/2021	Incumbent
31-9094.00	1.C.1.c	Initiative	IM	3.81	16	0.1067	3.5868	4.0414	N	08/2021	Incumbent
31-9094.00	1.C.2.b	Leadership	IM	2.33	16	0.2502	1.7919	2.8585	N	08/2021	Incumbent
31-9094.00	1.C.3.a	Cooperation	IM	3.92	16	0.1102	3.6874	4.1571	N	08/2021	Incumbent
31-9094.00	1.C.3.b	Concern for Others	IM	3.21	16	0.1694	2.8458	3.5681	N	08/2021	Incumbent
31-9094.00	1.C.3.c	Social Orientation	IM	2.50	16	0.1710	2.1327	2.8618	N	08/2021	Incumbent
31-9094.00	1.C.4.a	Self-Control	IM	3.39	16	0.1935	2.9781	3.8028	N	08/2021	Incumbent
31-9094.00	1.C.4.b	Stress Tolerance	IM	3.50	16	0.2792	2.9087	4.0989	N	08/2021	Incumbent
31-9094.00	1.C.4.c	Adaptability/Flexibility	IM	3.83	16	0.1704	3.4659	4.1922	N	08/2021	Incumbent
31-9094.00	1.C.5.a	Dependability	IM	4.63	16	0.1919	4.2258	5.0000	N	08/2021	Incumbent
31-9094.00	1.C.5.b	Attention to Detail	IM	4.55	16	0.1566	4.2197	4.8875	N	08/2021	Incumbent
31-9094.00	1.C.5.c	Integrity	IM	4.25	16	0.1792	3.8710	4.6347	N	08/2021	Incumbent
31-9094.00	1.C.6	Independence	IM	4.07	16	0.3646	3.2898	4.8441	N	08/2021	Incumbent
31-9094.00	1.C.7.a	Innovation	IM	3.02	16	0.2197	2.5537	3.4901	N	08/2021	Incumbent
31-9094.00	1.C.7.b	Analytical Thinking	IM	3.11	16	0.1199	2.8595	3.3704	N	08/2021	Incumbent
31-9095.00	1.C.1.a	Achievement/Effort	IM	3.15	23	0.3180	2.4909	3.8099	N	07/2014	Incumbent
31-9095.00	1.C.1.b	Persistence	IM	3.07	23	0.4140	2.2161	3.9330	N	07/2014	Incumbent
31-9095.00	1.C.1.c	Initiative	IM	3.59	23	0.2023	3.1680	4.0072	N	07/2014	Incumbent
31-9095.00	1.C.2.b	Leadership	IM	2.51	23	0.5586	1.3518	3.6686	N	07/2014	Incumbent
31-9095.00	1.C.3.a	Cooperation	IM	4.29	23	0.1544	3.9718	4.6121	N	07/2014	Incumbent
31-9095.00	1.C.3.b	Concern for Others	IM	3.73	23	0.3701	2.9641	4.4992	N	07/2014	Incumbent
31-9095.00	1.C.3.c	Social Orientation	IM	3.90	23	0.0522	3.7937	4.0103	N	07/2014	Incumbent
31-9095.00	1.C.4.a	Self-Control	IM	4.52	23	0.1944	4.1163	4.9227	N	07/2014	Incumbent
31-9095.00	1.C.4.b	Stress Tolerance	IM	3.99	23	0.0493	3.8847	4.0891	N	07/2014	Incumbent
31-9095.00	1.C.4.c	Adaptability/Flexibility	IM	3.72	23	0.3055	3.0891	4.3563	N	07/2014	Incumbent
31-9095.00	1.C.5.a	Dependability	IM	3.95	23	0.2532	3.4216	4.4719	N	07/2014	Incumbent
31-9095.00	1.C.5.b	Attention to Detail	IM	4.19	23	0.4252	3.3055	5.0000	N	07/2014	Incumbent
31-9095.00	1.C.5.c	Integrity	IM	4.64	23	0.1860	4.2580	5.0000	N	07/2014	Incumbent
31-9095.00	1.C.6	Independence	IM	3.23	23	0.4305	2.3342	4.1199	N	07/2014	Incumbent
31-9095.00	1.C.7.a	Innovation	IM	2.86	23	0.5461	1.7236	3.9887	N	07/2014	Incumbent
31-9095.00	1.C.7.b	Analytical Thinking	IM	3.22	23	0.5370	2.1069	4.3344	N	07/2014	Incumbent
31-9096.00	1.C.1.a	Achievement/Effort	IM	4.13	20	0.2558	3.5979	4.6685	N	08/2020	Incumbent
31-9096.00	1.C.1.b	Persistence	IM	4.33	20	0.1436	4.0289	4.6301	N	08/2020	Incumbent
31-9096.00	1.C.1.c	Initiative	IM	4.05	20	0.2423	3.5478	4.5622	N	08/2020	Incumbent
31-9096.00	1.C.2.b	Leadership	IM	3.82	20	0.2047	3.3896	4.2464	N	08/2020	Incumbent
31-9096.00	1.C.3.a	Cooperation	IM	4.36	20	0.2648	3.8046	4.9130	N	08/2020	Incumbent
31-9096.00	1.C.3.b	Concern for Others	IM	4.20	20	0.2202	3.7383	4.6601	N	08/2020	Incumbent
31-9096.00	1.C.3.c	Social Orientation	IM	3.94	19	0.1743	3.5787	4.3110	N	08/2020	Incumbent
31-9096.00	1.C.4.a	Self-Control	IM	4.43	20	0.2358	3.9334	4.9206	N	08/2020	Incumbent
31-9096.00	1.C.4.b	Stress Tolerance	IM	4.29	20	0.1480	3.9806	4.6001	N	08/2020	Incumbent
31-9096.00	1.C.4.c	Adaptability/Flexibility	IM	3.96	19	0.1934	3.5559	4.3686	N	08/2020	Incumbent
31-9096.00	1.C.5.a	Dependability	IM	4.66	20	0.1575	4.3259	4.9851	N	08/2020	Incumbent
31-9096.00	1.C.5.b	Attention to Detail	IM	4.47	20	0.2225	4.0002	4.9315	N	08/2020	Incumbent
31-9096.00	1.C.5.c	Integrity	IM	4.53	20	0.2141	4.0837	4.9798	N	08/2020	Incumbent
31-9096.00	1.C.6	Independence	IM	3.39	20	0.2022	2.9706	3.8169	N	08/2020	Incumbent
31-9096.00	1.C.7.a	Innovation	IM	2.72	20	0.2465	2.2018	3.2336	N	08/2020	Incumbent
31-9096.00	1.C.7.b	Analytical Thinking	IM	3.18	20	0.2446	2.6646	3.6885	N	08/2020	Incumbent
31-9097.00	1.C.1.a	Achievement/Effort	IM	4.05	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.1.b	Persistence	IM	3.95	21	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.1.c	Initiative	IM	4.00	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.2.b	Leadership	IM	3.50	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.3.a	Cooperation	IM	4.50	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.3.b	Concern for Others	IM	4.82	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.3.c	Social Orientation	IM	3.95	19	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.4.a	Self-Control	IM	4.32	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.4.b	Stress Tolerance	IM	4.59	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.4.c	Adaptability/Flexibility	IM	4.14	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.5.a	Dependability	IM	4.73	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.5.b	Attention to Detail	IM	4.91	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.5.c	Integrity	IM	4.68	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.6	Independence	IM	4.27	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.7.a	Innovation	IM	3.59	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9097.00	1.C.7.b	Analytical Thinking	IM	3.91	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
31-9099.01	1.C.1.a	Achievement/Effort	IM	4.28	20	0.3227	3.6062	4.9571	N	08/2022	Incumbent
31-9099.01	1.C.1.b	Persistence	IM	4.55	20	0.1419	4.2520	4.8460	N	08/2022	Incumbent
31-9099.01	1.C.1.c	Initiative	IM	4.55	20	0.1420	4.2512	4.8457	N	08/2022	Incumbent
31-9099.01	1.C.2.b	Leadership	IM	3.51	20	0.2372	3.0166	4.0096	N	08/2022	Incumbent
31-9099.01	1.C.3.a	Cooperation	IM	4.34	20	0.2119	3.8999	4.7867	N	08/2022	Incumbent
31-9099.01	1.C.3.b	Concern for Others	IM	4.81	20	0.1365	4.5215	5.0000	N	08/2022	Incumbent
31-9099.01	1.C.3.c	Social Orientation	IM	4.60	20	0.2258	4.1252	5.0000	N	08/2022	Incumbent
31-9099.01	1.C.4.a	Self-Control	IM	4.62	20	0.1600	4.2819	4.9516	N	08/2022	Incumbent
31-9099.01	1.C.4.b	Stress Tolerance	IM	4.53	20	0.1311	4.2528	4.8016	N	08/2022	Incumbent
31-9099.01	1.C.4.c	Adaptability/Flexibility	IM	4.80	20	0.1200	4.5484	5.0000	N	08/2022	Incumbent
31-9099.01	1.C.5.a	Dependability	IM	4.81	20	0.1230	4.5545	5.0000	N	08/2022	Incumbent
31-9099.01	1.C.5.b	Attention to Detail	IM	4.48	20	0.1295	4.2046	4.7466	N	08/2022	Incumbent
31-9099.01	1.C.5.c	Integrity	IM	4.79	20	0.1407	4.4961	5.0000	N	08/2022	Incumbent
31-9099.01	1.C.6	Independence	IM	4.29	20	0.1827	3.9118	4.6766	N	08/2022	Incumbent
31-9099.01	1.C.7.a	Innovation	IM	4.28	20	0.1983	3.8694	4.6995	N	08/2022	Incumbent
31-9099.01	1.C.7.b	Analytical Thinking	IM	4.51	20	0.1928	4.1073	4.9145	N	08/2022	Incumbent
31-9099.02	1.C.1.a	Achievement/Effort	IM	3.96	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.1.b	Persistence	IM	4.00	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.1.c	Initiative	IM	4.08	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.2.b	Leadership	IM	3.32	25	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.3.a	Cooperation	IM	4.38	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.3.b	Concern for Others	IM	4.35	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.3.c	Social Orientation	IM	3.73	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.4.a	Self-Control	IM	4.54	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.4.b	Stress Tolerance	IM	4.42	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.4.c	Adaptability/Flexibility	IM	4.35	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.5.a	Dependability	IM	4.54	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.5.b	Attention to Detail	IM	4.81	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.5.c	Integrity	IM	4.62	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.6	Independence	IM	4.15	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.7.a	Innovation	IM	3.04	26	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
31-9099.02	1.C.7.b	Analytical Thinking	IM	3.40	25	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
33-1011.00	1.C.1.a	Achievement/Effort	IM	3.82	32	0.2473	3.3182	4.3269	N	08/2020	Incumbent
33-1011.00	1.C.1.b	Persistence	IM	4.16	32	0.1849	3.7871	4.5415	N	08/2020	Incumbent
33-1011.00	1.C.1.c	Initiative	IM	4.25	32	0.2501	3.7424	4.7626	N	08/2020	Incumbent
33-1011.00	1.C.2.b	Leadership	IM	4.53	32	0.0909	4.3475	4.7184	N	08/2020	Incumbent
33-1011.00	1.C.3.a	Cooperation	IM	4.51	31	0.1515	4.2021	4.8210	N	08/2020	Incumbent
33-1011.00	1.C.3.b	Concern for Others	IM	4.16	31	0.2775	3.5886	4.7223	N	08/2020	Incumbent
33-1011.00	1.C.3.c	Social Orientation	IM	4.17	31	0.2343	3.6890	4.6458	N	08/2020	Incumbent
33-1011.00	1.C.4.a	Self-Control	IM	4.74	31	0.0894	4.5559	4.9211	N	08/2020	Incumbent
33-1011.00	1.C.4.b	Stress Tolerance	IM	4.73	31	0.1102	4.5013	4.9516	N	08/2020	Incumbent
33-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.42	31	0.1678	4.0733	4.7586	N	08/2020	Incumbent
33-1011.00	1.C.5.a	Dependability	IM	4.70	31	0.1249	4.4456	4.9557	N	08/2020	Incumbent
33-1011.00	1.C.5.b	Attention to Detail	IM	4.62	31	0.1192	4.3786	4.8655	N	08/2020	Incumbent
33-1011.00	1.C.5.c	Integrity	IM	4.89	32	0.0588	4.7716	5.0000	N	08/2020	Incumbent
33-1011.00	1.C.6	Independence	IM	4.11	32	0.1586	3.7859	4.4327	N	08/2020	Incumbent
33-1011.00	1.C.7.a	Innovation	IM	3.49	32	0.2520	2.9797	4.0078	N	08/2020	Incumbent
33-1011.00	1.C.7.b	Analytical Thinking	IM	4.01	32	0.2177	3.5640	4.4519	N	08/2020	Incumbent
33-1012.00	1.C.1.a	Achievement/Effort	IM	3.32	26	0.3052	2.6947	3.9516	N	08/2024	Incumbent
33-1012.00	1.C.1.b	Persistence	IM	4.14	26	0.3199	3.4841	4.8018	N	08/2024	Incumbent
33-1012.00	1.C.1.c	Initiative	IM	4.53	25	0.1781	4.1653	4.9004	N	08/2024	Incumbent
33-1012.00	1.C.2.b	Leadership	IM	4.66	26	0.1023	4.4517	4.8729	N	08/2024	Incumbent
33-1012.00	1.C.3.a	Cooperation	IM	4.21	26	0.1067	3.9870	4.4264	N	08/2024	Incumbent
33-1012.00	1.C.3.b	Concern for Others	IM	4.30	26	0.1606	3.9652	4.6266	N	08/2024	Incumbent
33-1012.00	1.C.3.c	Social Orientation	IM	4.08	26	0.2189	3.6265	4.5283	N	08/2024	Incumbent
33-1012.00	1.C.4.a	Self-Control	IM	4.87	26	0.0679	4.7269	5.0000	N	08/2024	Incumbent
33-1012.00	1.C.4.b	Stress Tolerance	IM	4.74	26	0.1197	4.4977	4.9909	N	08/2024	Incumbent
33-1012.00	1.C.4.c	Adaptability/Flexibility	IM	4.35	26	0.1342	4.0773	4.6302	N	08/2024	Incumbent
33-1012.00	1.C.5.a	Dependability	IM	4.62	26	0.1490	4.3135	4.9274	N	08/2024	Incumbent
33-1012.00	1.C.5.b	Attention to Detail	IM	4.55	26	0.1091	4.3261	4.7754	N	08/2024	Incumbent
33-1012.00	1.C.5.c	Integrity	IM	4.98	26	0.0136	4.9521	5.0000	N	08/2024	Incumbent
33-1012.00	1.C.6	Independence	IM	3.63	26	0.1550	3.3102	3.9488	N	08/2024	Incumbent
33-1012.00	1.C.7.a	Innovation	IM	3.18	26	0.2520	2.6568	3.6950	N	08/2024	Incumbent
33-1012.00	1.C.7.b	Analytical Thinking	IM	3.37	26	0.2634	2.8304	3.9154	N	08/2024	Incumbent
33-1021.00	1.C.1.a	Achievement/Effort	IM	4.09	76	0.1365	3.8160	4.3597	N	08/2022	Incumbent
33-1021.00	1.C.1.b	Persistence	IM	4.06	76	0.1575	3.7473	4.3747	N	08/2022	Incumbent
33-1021.00	1.C.1.c	Initiative	IM	4.14	76	0.1307	3.8828	4.4036	N	08/2022	Incumbent
33-1021.00	1.C.2.b	Leadership	IM	4.55	76	0.1270	4.2950	4.8009	N	08/2022	Incumbent
33-1021.00	1.C.3.a	Cooperation	IM	4.21	76	0.1702	3.8688	4.5468	N	08/2022	Incumbent
33-1021.00	1.C.3.b	Concern for Others	IM	4.34	76	0.1268	4.0885	4.5938	N	08/2022	Incumbent
33-1021.00	1.C.3.c	Social Orientation	IM	3.75	76	0.1981	3.3527	4.1418	N	08/2022	Incumbent
33-1021.00	1.C.4.a	Self-Control	IM	4.32	76	0.1362	4.0475	4.5901	N	08/2022	Incumbent
33-1021.00	1.C.4.b	Stress Tolerance	IM	4.53	76	0.1203	4.2862	4.7654	N	08/2022	Incumbent
33-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.32	75	0.1534	4.0181	4.6295	N	08/2022	Incumbent
33-1021.00	1.C.5.a	Dependability	IM	4.45	76	0.0969	4.2599	4.6461	N	08/2022	Incumbent
33-1021.00	1.C.5.b	Attention to Detail	IM	4.31	76	0.1364	4.0354	4.5789	N	08/2022	Incumbent
33-1021.00	1.C.5.c	Integrity	IM	4.67	75	0.1237	4.4233	4.9162	N	08/2022	Incumbent
33-1021.00	1.C.6	Independence	IM	3.39	75	0.1800	3.0344	3.7517	N	08/2022	Incumbent
33-1021.00	1.C.7.a	Innovation	IM	3.51	75	0.2137	3.0864	3.9381	N	08/2022	Incumbent
33-1021.00	1.C.7.b	Analytical Thinking	IM	3.80	75	0.1538	3.4920	4.1048	N	08/2022	Incumbent
33-1091.00	1.C.1.a	Achievement/Effort	IM	4.47	26	0.2881	3.8750	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.1.b	Persistence	IM	4.02	26	0.1252	3.7619	4.2776	N	08/2025	Incumbent
33-1091.00	1.C.1.c	Initiative	IM	4.29	26	0.1382	4.0099	4.5792	N	08/2025	Incumbent
33-1091.00	1.C.2.b	Leadership	IM	4.74	26	0.1610	4.4078	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.3.a	Cooperation	IM	4.45	26	0.0819	4.2791	4.6165	N	08/2025	Incumbent
33-1091.00	1.C.3.b	Concern for Others	IM	4.29	26	0.1486	3.9847	4.5966	N	08/2025	Incumbent
33-1091.00	1.C.3.c	Social Orientation	IM	2.80	26	0.4186	1.9394	3.6638	N	08/2025	Incumbent
33-1091.00	1.C.4.a	Self-Control	IM	4.77	26	0.1557	4.4459	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.4.b	Stress Tolerance	IM	4.71	26	0.1815	4.3328	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.4.c	Adaptability/Flexibility	IM	4.00	25	0.1300	3.7332	4.2698	N	08/2025	Incumbent
33-1091.00	1.C.5.a	Dependability	IM	4.81	26	0.1146	4.5702	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.5.b	Attention to Detail	IM	4.76	26	0.1459	4.4634	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.5.c	Integrity	IM	4.86	26	0.0879	4.6748	5.0000	N	08/2025	Incumbent
33-1091.00	1.C.6	Independence	IM	4.09	26	0.0974	3.8942	4.2955	N	08/2025	Incumbent
33-1091.00	1.C.7.a	Innovation	IM	3.29	24	0.1817	2.9117	3.6635	N	08/2025	Incumbent
33-1091.00	1.C.7.b	Analytical Thinking	IM	3.50	26	0.1286	3.2317	3.7612	N	08/2025	Incumbent
33-2011.00	1.C.1.a	Achievement/Effort	IM	4.00	83	0.1332	3.7326	4.2627	N	08/2022	Incumbent
33-2011.00	1.C.1.b	Persistence	IM	4.19	83	0.1311	3.9335	4.4549	N	08/2022	Incumbent
33-2011.00	1.C.1.c	Initiative	IM	4.27	83	0.1074	4.0571	4.4844	N	08/2022	Incumbent
33-2011.00	1.C.2.b	Leadership	IM	4.42	82	0.1248	4.1692	4.6660	N	08/2022	Incumbent
33-2011.00	1.C.3.a	Cooperation	IM	4.49	83	0.0910	4.3133	4.6755	N	08/2022	Incumbent
33-2011.00	1.C.3.b	Concern for Others	IM	4.50	83	0.0916	4.3165	4.6809	N	08/2022	Incumbent
33-2011.00	1.C.3.c	Social Orientation	IM	4.17	83	0.0919	3.9901	4.3557	N	08/2022	Incumbent
33-2011.00	1.C.4.a	Self-Control	IM	4.61	82	0.0715	4.4714	4.7560	N	08/2022	Incumbent
33-2011.00	1.C.4.b	Stress Tolerance	IM	4.68	83	0.0702	4.5364	4.8158	N	08/2022	Incumbent
33-2011.00	1.C.4.c	Adaptability/Flexibility	IM	4.38	81	0.0982	4.1861	4.5770	N	08/2022	Incumbent
33-2011.00	1.C.5.a	Dependability	IM	4.65	83	0.0714	4.5092	4.7933	N	08/2022	Incumbent
33-2011.00	1.C.5.b	Attention to Detail	IM	4.56	83	0.0921	4.3799	4.7462	N	08/2022	Incumbent
33-2011.00	1.C.5.c	Integrity	IM	4.57	83	0.0779	4.4104	4.7202	N	08/2022	Incumbent
33-2011.00	1.C.6	Independence	IM	3.25	82	0.2050	2.8437	3.6593	N	08/2022	Incumbent
33-2011.00	1.C.7.a	Innovation	IM	3.64	83	0.1530	3.3364	3.9452	N	08/2022	Incumbent
33-2011.00	1.C.7.b	Analytical Thinking	IM	3.90	82	0.1121	3.6782	4.1241	N	08/2022	Incumbent
33-2021.00	1.C.1.a	Achievement/Effort	IM	3.61	48	0.2187	3.1712	4.0512	N	08/2022	Incumbent
33-2021.00	1.C.1.b	Persistence	IM	3.94	48	0.0800	3.7804	4.1024	N	08/2022	Incumbent
33-2021.00	1.C.1.c	Initiative	IM	4.20	48	0.0948	4.0126	4.3940	N	08/2022	Incumbent
33-2021.00	1.C.2.b	Leadership	IM	3.90	46	0.1747	3.5477	4.2514	N	08/2022	Incumbent
33-2021.00	1.C.3.a	Cooperation	IM	4.47	48	0.1207	4.2309	4.7167	N	08/2022	Incumbent
33-2021.00	1.C.3.b	Concern for Others	IM	4.05	48	0.1605	3.7306	4.3764	N	08/2022	Incumbent
33-2021.00	1.C.3.c	Social Orientation	IM	3.61	48	0.1436	3.3195	3.8975	N	08/2022	Incumbent
33-2021.00	1.C.4.a	Self-Control	IM	4.02	48	0.0502	3.9194	4.1212	N	08/2022	Incumbent
33-2021.00	1.C.4.b	Stress Tolerance	IM	3.99	48	0.1315	3.7253	4.2543	N	08/2022	Incumbent
33-2021.00	1.C.4.c	Adaptability/Flexibility	IM	4.01	48	0.1378	3.7354	4.2897	N	08/2022	Incumbent
33-2021.00	1.C.5.a	Dependability	IM	4.35	48	0.1344	4.0770	4.6179	N	08/2022	Incumbent
33-2021.00	1.C.5.b	Attention to Detail	IM	4.38	47	0.1548	4.0707	4.6938	N	08/2022	Incumbent
33-2021.00	1.C.5.c	Integrity	IM	4.72	47	0.0722	4.5738	4.8644	N	08/2022	Incumbent
33-2021.00	1.C.6	Independence	IM	3.67	48	0.4414	2.7832	4.5593	N	08/2022	Incumbent
33-2021.00	1.C.7.a	Innovation	IM	3.50	48	0.1571	3.1825	3.8144	N	08/2022	Incumbent
33-2021.00	1.C.7.b	Analytical Thinking	IM	3.95	48	0.1466	3.6579	4.2479	N	08/2022	Incumbent
33-2022.00	1.C.1.a	Achievement/Effort	IM	3.77	21	0.1789	3.3924	4.1388	N	08/2019	Incumbent
33-2022.00	1.C.1.b	Persistence	IM	4.17	21	0.1258	3.9096	4.4344	N	08/2019	Incumbent
33-2022.00	1.C.1.c	Initiative	IM	4.19	21	0.1103	3.9607	4.4210	N	08/2019	Incumbent
33-2022.00	1.C.2.b	Leadership	IM	4.44	21	0.1221	4.1818	4.6914	N	08/2019	Incumbent
33-2022.00	1.C.3.a	Cooperation	IM	4.25	21	0.2171	3.8005	4.7061	N	08/2019	Incumbent
33-2022.00	1.C.3.b	Concern for Others	IM	3.87	21	0.1624	3.5287	4.2061	N	08/2019	Incumbent
33-2022.00	1.C.3.c	Social Orientation	IM	3.54	21	0.2029	3.1164	3.9631	N	08/2019	Incumbent
33-2022.00	1.C.4.a	Self-Control	IM	4.36	21	0.1728	3.9947	4.7155	N	08/2019	Incumbent
